on_disk_filename,url_hash,original_filename,agency,part_number,is_dod,source_url,pdf_size_bytes
26942750d1119b37_CPSC_RFO_Deviation_Part-45.pdf,26942750d1119b37,CPSC_RFO_Deviation_Part-45.pdf,CPSC,45,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-45.pdf,194317
962e8af8623473e1_CPSC_RFO_Deviation_Part-46.pdf,962e8af8623473e1,CPSC_RFO_Deviation_Part-46.pdf,CPSC,46,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-46.pdf,199281
22cf239f0902d1b6_CPSC_RFO_Deviation_Part-47.pdf,22cf239f0902d1b6,CPSC_RFO_Deviation_Part-47.pdf,CPSC,47,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-47.pdf,232968
9053ebb71ada60f4_CPSC_RFO_Deviation_Part-48.pdf,9053ebb71ada60f4,CPSC_RFO_Deviation_Part-48.pdf,CPSC,48,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-48.pdf,218147
dcf182650b19e6e6_CPSC_RFO_Deviation_Part-49.pdf,dcf182650b19e6e6,CPSC_RFO_Deviation_Part-49.pdf,CPSC,49,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-49.pdf,200864
8d6966bc5f86da5f_CPSC_RFO_Deviation_Part-5.pdf,8d6966bc5f86da5f,CPSC_RFO_Deviation_Part-5.pdf,CPSC,5,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-5.pdf,219679
886fee053fb51033_CPSC_RFO_Deviation_Part-50.pdf,886fee053fb51033,CPSC_RFO_Deviation_Part-50.pdf,CPSC,50,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-50.pdf,250850
96585f29253c6984_CPSC_RFO_Deviation_Part-51.pdf,96585f29253c6984,CPSC_RFO_Deviation_Part-51.pdf,CPSC,51,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-51.pdf,196062
33b115c72c2da6db_CPSC_RFO_Deviation_Part-53.pdf,33b115c72c2da6db,CPSC_RFO_Deviation_Part-53.pdf,CPSC,53,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-53.pdf,253306
2ebabacd43480846_CPSC_RFO_Deviation_Part-6.pdf,2ebabacd43480846,CPSC_RFO_Deviation_Part-6.pdf,CPSC,6,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-6.pdf,246787
